"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"222233_s_at",3.68758494456763,7.18817980769231,16.336259754642,2.59943510128253e-22,4.43730998746361e-20,40.5759669169364
"235867_at",-3.22613033259424,2.86172576923077,-16.3254586485689,2.67668980911111e-22,4.54322469702137e-20,40.546808742833
"231773_at",-2.96494611973392,3.51244038461538,-16.304151957616,2.8359911280244e-22,4.78641598686288e-20,40.4892504905099
"219960_s_at",3.69959243902439,8.52477634615385,16.2870958388037,2.97042770135846e-22,4.98514532149895e-20,40.4431368219659
"222036_s_at",3.63350239467849,9.05782961538462,16.2837405925759,2.9976261553551e-22,5.00268637647613e-20,40.4340614532475
"232570_s_at",-1.97621294900222,5.58806846153846,-16.2505472070711,3.28071371615936e-22,5.4447089357127e-20,40.3442084707884
"214882_s_at",2.4604268292683,11.2087519230769,16.247720254982,3.30604347637168e-22,5.45643297069897e-20,40.3365501158669
"201399_s_at",4.97814254988914,10.1780121153846,16.2350318325363,3.42220145517361e-22,5.61711121265942e-20,40.3021650803511
"226028_at",-3.4465545232816,6.8208825,-16.2253801364649,3.51332741377196e-22,5.73517102904971e-20,40.2759968719293
"201523_x_at",4.67815949002217,7.75149519230769,16.2186058202378,3.57875466312e-22,5.81022489409695e-20,40.2576234886045
"230757_at",-2.47129971175166,4.8915525,-16.2001130529083,3.76372934981741e-22,6.07750739822138e-20,40.2074399310864
"1566424_at",-1.70502341463415,3.73319461538462,-16.1932576074147,3.83474218099085e-22,6.15888457917955e-20,40.1888262681082
"200900_s_at",4.76791181818182,8.06123326923077,16.1845444459681,3.92696542006747e-22,6.27327475902008e-20,40.1651606814165
"203812_at",-3.22852494456763,5.15107134615385,-16.1680060493449,4.10825495115327e-22,6.52797341254264e-20,40.1202167881586
"1562527_at",-5.10640490022173,3.7777925,-16.1513108778173,4.29988799783601e-22,6.7963256168971e-20,40.074814421285
"226320_at",3.85300791574279,8.25336673076923,16.1487042057334,4.33061706199533e-22,6.8088696575256e-20,40.0677226577491
"218755_at",5.01514323725056,7.67968846153846,16.1221372464224,4.65681261890444e-22,7.28340122327394e-20,39.9953987010004
"1558048_x_at",-5.49392,10.2862553846154,-16.1083004053806,4.83647510090275e-22,7.52500107756604e-20,39.9576975477641
"202503_s_at",6.83455532150776,8.93240673076923,16.0938688376432,5.03136514465008e-22,7.78766688943689e-20,39.9183520309698
"200641_s_at",5.8045320842572,10.2659021153846,16.0847141671762,5.15910825853775e-22,7.94422891790197e-20,39.8933805216898
"225655_at",4.79072017738359,7.30606769230769,16.0714959092913,5.34938786701613e-22,8.19498788468578e-20,39.8573072677722
"200638_s_at",3.59093988913526,12.2117098076923,16.0683335477601,5.3959573945143e-22,8.22415485950641e-20,39.8486739911847
"205895_s_at",4.62066926829269,6.88804,16.0663939717923,5.42472336490879e-22,8.22602848121423e-20,39.8433783494081
"228851_s_at",3.95250126385809,7.2426425,16.0571932939727,5.56331470874536e-22,8.39358082294698e-20,39.8182516339892
"215378_at",-1.72109749445676,3.85646173076923,-16.0171294744153,6.20997550796709e-22,9.32214062057793e-20,39.7087227526546
"224753_at",4.34967900221729,6.89235096153846,15.9997201975904,6.51428297690149e-22,9.73005876844891e-20,39.6610693283904
"48031_r_at",-2.70425829268293,6.22965634615385,-15.9883367722626,6.72140492182511e-22,9.98947906615331e-20,39.6298908108776
"1554768_a_at",5.4506266075388,7.05674307692308,15.9684954167536,7.09853719350288e-22,1.04977525535402e-19,39.5755099941915
"206438_x_at",-3.04573352549889,7.09256807692308,-15.9578996715924,7.30866284125687e-22,1.07552554215205e-19,39.5464503414919
"211090_s_at",5.02704161862528,8.18152442307692,15.9448118080973,7.57695075109746e-22,1.10954044013497e-19,39.5105375557864
